source,uniqueId,igsn,hatchSpacing_mm,laserPower_W,laserVelocity_mm_s,layerThickness_mm,VED_J_per_mm3
NASA TTT,B92_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.15,305.0,2490.0,0.03,27.21999107541276
NASA TTT,B93_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.09,320.0,3230.0,0.03,36.69303978901502
NASA TTT,B94_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.14,190.0,1800.0,0.03,25.13227513227513
NASA TTT,B95_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.04,280.0,3460.0,0.03,67.4373795761079
NASA TTT,B96_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.16,265.0,1440.0,0.03,38.339120370370374
NASA TTT,B97_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.13,360.0,2210.0,0.03,41.768186564566655
NASA TTT,B98_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.16,175.0,1450.0,0.03,25.143678160919542
NASA TTT,B99_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.05,155.0,1700.0,0.03,60.7843137254902
NASA TTT,C01_2022-01-11_JHUAPL_EOSM290_Ti64_Cylinder,,0.1,153.0,719.0,0.03,70.9318497913769
NASA TTT,C02_2022-01-11_JHUAPL_EOSM290_Ti64_Cylinder,,0.03,125.0,1952.0,0.03,71.1520947176685
NASA TTT,C03_2022-01-11_JHUAPL_EOSM290_Ti64_Cylinder,,0.09,122.0,609.0,0.03,74.19570637961444
NASA TTT,C04_2022-01-11_JHUAPL_EOSM290_Ti64_Cylinder,,0.03,98.0,1458.0,0.03,74.68373723517757
NASA TTT,C05_2022-01-11_JHUAPL_EOSM290_Ti64_Cylinder,,0.18,325.0,781.0,0.03,77.06169678000664
NASA TTT,C06_2022-01-11_JHUAPL_EOSM290_Ti64_Cylinder,,0.03,266.0,3781.0,0.03,78.16862088218872
NASA TTT,C07_2022-01-11_JHUAPL_EOSM290_Ti64_Cylinder,,0.03,190.0,2648.0,0.03,79.72473984558577
NASA TTT,C08_2022-01-11_JHUAPL_EOSM290_Ti64_Cylinder,,0.16,173.0,415.0,0.03,86.84738955823293
NASA TTT,C09_2022-01-11_JHUAPL_EOSM290_Ti64_Cylinder,,0.04,254.0,2430.0,0.03,87.10562414266118
NASA TTT,C10_2022-01-11_JHUAPL_EOSM290_Ti64_Cylinder,,0.07,133.0,666.0,0.03,95.09509509509509
NASA TTT,C11_2022-01-11_JHUAPL_EOSM290_Ti64_Cylinder,,0.13,239.0,643.0,0.03,95.3064561151653
NASA TTT,C12_2022-01-11_JHUAPL_EOSM290_Ti64_Cylinder,,0.16,346.0,738.0,0.03,97.67389340560072
NASA TTT,C13_2022-01-11_JHUAPL_EOSM290_Ti64_Cylinder,,0.19,351.0,627.0,0.03,98.21203727020902
NASA TTT,C14_2022-01-11_JHUAPL_EOSM290_Ti64_Cylinder,,0.07,126.0,559.0,0.03,107.33452593917711
NASA TTT,C15_2022-01-11_JHUAPL_EOSM290_Ti64_Cylinder,,0.07,192.0,845.0,0.03,108.19949281487742
NASA TTT,C16_2022-01-11_JHUAPL_EOSM290_Ti64_Cylinder,,0.12,287.0,732.0,0.03,108.91013964784456
NASA TTT,C17_2022-01-11_JHUAPL_EOSM290_Ti64_Cylinder,,0.18,365.0,614.0,0.03,110.08565568826155
NASA TTT,C18_2022-01-11_JHUAPL_EOSM290_Ti64_Cylinder,,0.13,357.0,826.0,0.03,110.82138200782268
NASA TTT,C19_2022-01-11_JHUAPL_EOSM290_Ti64_Cylinder,,0.03,338.0,3260.0,0.03,115.20109066121337
NASA TTT,C20_2022-01-11_JHUAPL_EOSM290_Ti64_Cylinder,,0.12,357.0,846.0,0.03,117.21828211189914
NASA TTT,C21_2022-01-11_JHUAPL_EOSM290_Ti64_Cylinder,,0.04,358.0,2347.0,0.03,127.11262604743645
NASA TTT,C22_2022-01-11_JHUAPL_EOSM290_Ti64_Cylinder,,0.08,258.0,776.0,0.03,138.53092783505156
NASA TTT,C23_2022-01-11_JHUAPL_EOSM290_Ti64_Cylinder,,0.03,368.0,2895.0,0.03,141.23968528113608
NASA TTT,C24_2022-01-11_JHUAPL_EOSM290_Ti64_Cylinder,,0.08,282.0,823.0,0.03,142.7703523693803
NASA TTT,C25_2022-01-11_JHUAPL_EOSM290_Ti64_Cylinder,,0.04,117.0,666.0,0.03,146.3963963963964
NASA TTT,C26_2022-01-11_JHUAPL_EOSM290_Ti64_Cylinder,,0.12,280.0,2475.0,0.03,31.42536475869809
NASA TTT,C27_2022-01-11_JHUAPL_EOSM290_Ti64_Cylinder,,0.05,107.0,1650.0,0.03,43.23232323232323
NASA TTT,C28_2022-01-11_JHUAPL_EOSM290_Ti64_Cylinder,,0.18,101.0,695.0,0.03,26.911803890221158
NASA TTT,C29_2022-01-11_JHUAPL_EOSM290_Ti64_Cylinder,,0.17,118.0,874.0,0.03,26.472831695607304
NASA TTT,C30_2022-01-11_JHUAPL_EOSM290_Ti64_Cylinder,,0.09,239.0,2344.0,0.03,37.76387308810517
NASA TTT,C31_2022-01-11_JHUAPL_EOSM290_Ti64_Cylinder,,0.06,204.0,3096.0,0.03,36.60637381567615
NASA TTT,C32_2022-01-11_JHUAPL_EOSM290_Ti64_Cylinder,,0.11,354.0,2596.0,0.03,41.32231404958677
NASA TTT,C33_2022-01-11_JHUAPL_EOSM290_Ti64_Cylinder,,0.17,323.0,1577.0,0.03,40.16064257028113
NASA TTT,C34_2022-01-11_JHUAPL_EOSM290_Ti64_Cylinder,,0.05,234.0,2428.0,0.03,64.2504118616145
NASA TTT,C35_2022-01-11_JHUAPL_EOSM290_Ti64_Cylinder,,0.1,346.0,3493.0,0.03,33.01841778795687
NASA TTT,C36_2022-01-11_JHUAPL_EOSM290_Ti64_Cylinder,,0.06,164.0,2870.0,0.03,31.74603174603175
NASA TTT,C37_2022-01-11_JHUAPL_EOSM290_Ti64_Cylinder,,0.1,310.0,3118.0,0.03,33.14090228779132
NASA TTT,C38_2022-01-11_JHUAPL_EOSM290_Ti64_Cylinder,,0.17,298.0,1719.0,0.03,33.9914907207793
NASA TTT,C39_2022-01-11_JHUAPL_EOSM290_Ti64_Cylinder,,0.06,196.0,2763.0,0.03,39.40965938794386
NASA TTT,C40_2022-01-11_JHUAPL_EOSM290_Ti64_Cylinder,,0.07,268.0,3245.0,0.03,39.32790373468339
NASA TTT,C41_2022-01-11_JHUAPL_EOSM290_Ti64_Cylinder,,0.07,198.0,2541.0,0.03,37.105751391465674
NASA TTT,C42_2022-01-11_JHUAPL_EOSM290_Ti64_Cylinder,,0.11,134.0,1178.0,0.03,34.47034007305654
NASA TTT,C43_2022-01-11_JHUAPL_EOSM290_Ti64_Cylinder,,0.09,211.0,2161.0,0.03,36.16295610742627
NASA TTT,C44_2022-01-11_JHUAPL_EOSM290_Ti64_Cylinder,,0.07,162.0,2227.0,0.03,34.63981012252229
NASA TTT,C45_2022-01-11_JHUAPL_EOSM290_Ti64_Cylinder,,0.13,252.0,1594.0,0.03,40.53662773863527
NASA TTT,C46_2022-01-11_JHUAPL_EOSM290_Ti64_Cylinder,,0.11,277.0,2641.0,0.03,31.783185891478208
NASA TTT,C47_2022-01-11_JHUAPL_EOSM290_Ti64_Cylinder,,0.09,62.0,444.0,0.03,51.71838505171838
NASA TTT,C48_2022-01-11_JHUAPL_EOSM290_Ti64_Cylinder,,0.05,106.0,1736.0,0.03,40.706605222734254
NASA TTT,C49_2022-01-11_JHUAPL_EOSM290_Ti64_Cylinder,,0.11,60.0,539.0,0.03,33.732501264968796
NASA TTT,C50_2022-01-11_JHUAPL_EOSM290_Ti64_Cylinder,,0.18,141.0,486.0,0.03,53.72656607224509
ULI,CMU01.01,CMXMAL00011-01,0.14,370.0,950.0,,
